domain,trust_score,blacklisted,ip_bad_count_total,ip_bad_count_bad,ssl_valid,ip_country,anonymous_whois,alexa_rank,dnsblock_threat_count,whois_registration_duration,whois_valid_email,avg_review_score,facebook_comments_total_count,facebook_comments_negative_count,facebook_comments_positive_count,popularity_rank,scamadviser_votes_legit,scamadviser_votes_scam,scamadviser_votes_fake,is_legit
bitcetuss.com,46,False,5000,723,True,US,True,-1,0,1.46,False,1.86,0,0,0,-1,0,0,0,False
bitcoin-champion.com,6,False,5000,608,True,BR,True,1764468,1,4.85,True,2.9,0,0,0,-1,0,0,0,False
bitcoin-hausse.com,13,False,0,0,False,US,True,-1,0,1.05,False,0,0,0,0,-1,0,0,0,False
bitcoin-pas-chere.com,13,False,0,0,False,,True,-1,2,0,,0,0,0,0,-1,0,0,0,False
bitcoin-patrimoine.com,10,False,0,0,True,FR,True,-1,0,1.89,False,0,0,0,0,-1,0,0,0,False
bitcoinera.app,1,False,217,59,True,US,True,523511,0,4.75,False,1.29,0,0,0,-1,0,2,0,False
ww7.bitcoinfrex.com,86,False,5000,671,False,US,True,-1,0,1.73,False,0,0,0,0,-1,0,0,0,False
bitcoinified.com,1,False,3260,1101,True,CH,,-1,0,0.42,,1.0,0,0,0,-1,0,0,0,False
bitcoinlifestyle.io,1,False,5000,1295,True,US,True,3099460,0,2.36,True,3.8,0,0,0,-1,0,0,0,False
bitcoinoie.com,1,False,2,1,True,US,True,7295305,0,6.44,True,1.96,0,0,0,-1,0,1,0,False
bitcoinrevolution.org,1,False,5000,163,True,US,True,1271241,0,9.5,False,1.52,0,0,0,-1,0,3,0,False
bitconeo.com,13,False,0,0,False,US,False,-1,0,4.49,True,0,0,0,0,-1,0,0,0,False
bitcoud.com,42,False,5000,619,True,US,True,-1,0,1.46,True,1.0,0,0,0,-1,0,0,0,False
bitecx.com,71,False,5000,132,True,,,-1,3,6.45,,1.4,0,0,0,-1,0,0,0,False
bitmetroinvestment.com,1,False,156,98,True,US,True,-1,0,1.67,True,2.1,0,0,0,-1,0,0,0,False
bitoasis.ai,2,False,5000,160,True,US,True,-1,0,0,False,1.0,0,0,0,-1,0,0,0,False
bitprud.com,1,False,86,41,True,,True,-1,3,1.63,True,1.3,0,0,0,-1,0,0,0,False
,-1,False,0,0,False,,False,-1,0,0,False,0,0,0,0,-1,0,0,0,False
bitstackoption.com,37,False,443,163,True,US,,-1,0,2.88,,0,0,0,0,-1,0,0,0,False
bitstampnd.info,60,False,0,0,True,,True,-1,0,2.4,True,0,0,0,0,-1,0,0,0,False
bitx.net,86,False,258,80,True,US,True,7813215,0,22.55,True,1.0,1,1,0,-1,1,1,0,False
bravaofx.com,1,False,5000,1848,True,US,True,-1,0,1.27,False,1.0,0,0,0,-1,0,0,0,False
btc.imtoker.cn,1,False,2,0,False,,,-1,3,0,,1.6,0,0,0,-1,0,4,2,False
ww25.btcbrokerz.com,56,False,5000,1508,False,US,,-1,0,0.16,,0,0,0,0,-1,0,0,0,False
hugedomains.com,100,False,56,2,True,US,False,1457,0,20.74,True,1.29,18,9,2,-1,10,171,48,False
btcxt.com,65,False,214,48,True,US,,-1,0,7.35,,1.0,0,0,0,-1,0,0,0,False
bxbcc.com,41,False,5000,594,True,US,True,-1,0,1.78,True,1.0,0,0,0,-1,0,0,0,False
bybitdex.com,1,False,5,5,True,NL,True,7775164,1,0.68,False,2.08,0,0,0,-1,0,1,0,False
bytobit.com,1,False,8,8,True,RU,True,-1,0,0.97,True,1.0,0,0,0,-1,0,0,0,False
c4iex.com,13,False,0,0,False,,True,-1,2,0,,0,0,0,0,-1,0,0,0,False
camolcoin.net,72,False,5000,638,True,BR,True,-1,0,2.11,True,0,50,50,0,-1,0,1,0,False
capital-coins.com,13,False,0,0,False,HK,False,-1,0,3.47,True,0,0,0,0,-1,0,0,0,False
capital-coventry.com,13,False,0,0,False,,True,-1,2,0,,0,0,0,0,-1,0,0,0,False
ccy-space.com,11,False,6,1,False,HK,True,-1,0,1.02,False,1.0,0,0,0,-1,0,0,0,False
cdfxtrade.online,24,False,137,49,True,LT,True,-1,0,1.89,True,1.0,0,0,0,-1,0,0,0,False
ceggcc.vip,45,False,0,0,True,,True,9773952,2,2.45,True,0,0,0,0,-1,0,0,0,False
ww25.centogx.com,1,False,5000,516,False,US,,-1,0,1.08,,1.0,0,0,0,-1,0,0,0,False
cfd.smart-epargne.com,1,False,257,98,True,US,,-1,0,1.05,,0.9,0,0,0,-1,0,0,0,False
cglobalw.com,47,False,1,1,True,HK,True,-1,0,1.12,True,0,0,0,0,-1,0,0,0,False
chonghingvip.com,12,False,3896,1064,True,NL,True,-1,0,0.69,False,1.0,0,0,0,-1,0,0,0,False
cmccapital.net,1,False,178,39,True,US,True,680219,0,0.39,True,3.01,0,0,0,-1,0,2,0,False
cmebuy.com,40,False,1,1,True,US,True,-1,0,2.6,True,0,0,0,0,-1,0,0,0,False
cmecrypto.com,57,False,194,46,False,US,,-1,0,5.09,,1.1,0,0,0,-1,0,1,0,False
www.cmmaxpro.com,25,False,0,0,False,,True,-1,0,0.77,False,1.0,0,0,0,-1,0,0,0,False
coinbasetv.com,1,False,5000,254,True,US,True,-1,0,0.59,False,1.1,0,0,0,-1,0,0,0,False
coindcx.win,1,False,2,1,True,US,True,-1,0,0.71,True,1.0,0,0,0,-1,0,1,0,False
coinexflip.com,1,False,11,2,True,LT,True,-1,0,0.81,True,0,0,0,0,-1,0,0,0,False
ww25.coinftx.io,21,False,5000,1353,False,US,True,-1,0,0.65,False,1.0,0,0,0,-1,0,0,0,False
coingrapeforextrading.com,12,False,313,169,True,US,True,-1,0,2.22,True,0,0,0,0,-1,0,0,0,False
coingrapxforextrading.net,1,False,5,3,True,US,,-1,0,1.45,,1.1,0,0,0,-1,0,0,0,False
coinifytradingbolt.net,1,False,230,126,True,US,True,-1,0,1.96,True,0,0,0,0,-1,0,0,0,False
coinjab.net,41,False,5000,191,True,DE,True,-1,0,1.77,True,1.2,0,0,0,-1,0,0,0,False
coinmicro.org,1,False,1,1,False,HK,,-1,1,0,,0,0,0,0,-1,0,0,0,False
ww25.coinsswitch.cc,6,False,5000,1344,False,US,,-1,0,0.03,,0,0,0,0,-1,0,0,0,False
ww25.cointrademining.com,31,False,5000,1353,False,US,True,-1,0,0.96,True,1.3,0,0,0,-1,0,0,0,False
coinwpro.xyz,40,False,0,0,True,,True,-1,2,2.71,False,0,0,0,0,-1,0,0,0,False
