domain,trust_score,blacklisted,ip_bad_count_total,ip_bad_count_bad,ssl_valid,ip_country,anonymous_whois,alexa_rank,dnsblock_threat_count,whois_registration_duration,whois_valid_email,avg_review_score,facebook_comments_total_count,facebook_comments_negative_count,facebook_comments_positive_count,popularity_rank,scamadviser_votes_legit,scamadviser_votes_scam,scamadviser_votes_fake,is_legit
prix-bitcoin.com,13,False,0,0,False,,True,-1,2,0,,0,0,0,0,-1,0,0,0,False
publicrealm.pro,1,False,5000,161,True,US,True,-1,0,0.65,True,1.0,0,0,0,-1,0,0,0,False
quantumfundsgroup.net,41,False,5000,179,True,US,True,-1,0,1.11,True,1.0,0,0,0,-1,0,0,0,False
renq.io,41,False,262,68,True,US,True,-1,0,1.66,False,1.3,0,0,0,-1,0,0,0,False
riacapital.pro,1,True,5000,165,True,US,True,-1,0,1.07,False,1.87,0,0,0,-1,0,0,0,False
rivegarde.com,1,False,242,59,True,US,True,-1,0,1.01,True,1.41,0,0,0,-1,0,0,0,False
rmcas-ltd.com,10,False,0,0,False,,True,-1,2,0,,0,0,0,0,-1,0,0,0,False
safepalesa.com,56,False,0,0,True,,,-1,0,1.07,,0,0,0,0,-1,0,0,0,False
save-coins.com,1,False,0,0,False,,,-1,0,0,,0,0,0,0,-1,0,0,0,False
securedailywealth.com,46,False,965,371,True,NL,,-1,0,2.15,,1.0,0,0,0,-1,0,1,1,False
shorttermtradings.com,1,False,3,3,False,HK,True,-1,0,0.61,False,1.3,0,0,0,-1,0,0,0,False
silveriz.fr,15,False,1,1,True,IL,True,-1,0,2.22,,2.13,0,0,0,-1,0,1,1,False
simexrue.com,1,False,11,9,False,US,False,-1,0,2.08,True,1.0,0,0,0,-1,0,0,0,False
smart-epargne.com,1,False,257,98,True,US,,-1,0,1.05,,1.0,0,0,0,-1,0,0,0,False
smartweb.network,28,False,300,250,True,DE,True,-1,0,6.86,False,1.0,0,0,0,-1,0,1,0,False
solanaftxdex.com,1,False,11,9,False,US,,-1,0,0,,1.1,0,0,0,-1,0,0,0,False
solidinvest.co,1,False,659,179,True,US,True,-1,0,0.86,False,1.44,1,0,0,-1,0,4,0,False
solution-invest.com,13,False,5000,298,False,FR,True,-1,1,2.7,True,0,0,0,0,-1,0,0,0,False
sswapep.vip,11,False,0,0,True,,True,-1,0,2.26,True,1.0,0,0,0,-1,0,3,0,False
stock-crypto.com,13,False,5000,319,True,US,True,-1,0,2.88,False,0,0,0,0,-1,0,0,0,False
svcoin.space,31,False,198,43,True,US,True,-1,0,1.37,True,1.1,0,0,0,-1,0,0,0,False
swiftkoin.com,1,False,374,242,True,US,True,-1,0,1.64,True,1.1,0,0,0,-1,0,0,0,False
sz51ly.com,31,False,1,1,False,HK,False,-1,0,0.93,True,1.0,0,0,0,-1,0,0,0,False
tesbtcinge.com,37,False,234,90,True,US,True,-1,0,2.18,False,1.3,0,0,0,-1,0,1,0,False
tgtradem.vip,1,False,5000,919,True,DE,True,-1,0,0.56,False,1.0,0,0,0,-1,0,0,0,False
thecryptolimited.com,32,False,5000,248,True,US,True,-1,0,1.33,False,2.0,0,0,0,-1,0,2,2,False
tkeycoin.com,10,False,3,0,True,US,True,4754791,0,6.76,False,3.67,32,30,0,-1,0,2,0,False
tokenswap.net,1,False,5000,404,True,US,True,8733309,0,0.91,False,1.1,0,0,0,-1,0,23,7,False
tradabank.com,13,False,1905,465,False,US,True,-1,0,0,,0,0,0,0,-1,0,0,0,False
trade.xtrade.net,38,False,5000,139,True,US,,2789618,0,21.95,,0,0,0,0,-1,0,0,0,False
tradehuxe.com,1,False,224,64,True,US,True,-1,0,1.83,True,1.76,0,0,0,-1,0,0,0,False
trader.bfy-c.co,22,False,641,317,True,AU,,-1,0,0,,1.0,0,0,0,-1,0,0,0,False
traderup.com,1,False,48,16,True,US,True,-1,0,10.07,True,3.0,0,0,0,-1,0,0,0,False
tradezlescrypto.com,13,False,173,46,False,JP,True,-1,0,5.28,False,0,0,0,0,-1,0,0,0,False
trustedstations.com,32,False,5000,159,True,US,True,-1,0,1.32,True,1.58,0,0,0,-1,0,0,0,False
ubp26one.com,1,False,5000,188,True,US,True,-1,0,0.77,True,3.34,0,0,0,-1,0,0,0,False
uncleblockgloballimited.com,27,False,2262,215,True,NL,True,-1,0,1.89,True,1.0,0,0,0,-1,0,0,0,False
ww25.undercryptos.com,77,False,5000,514,False,US,True,-1,0,2.01,False,0,0,0,0,-1,0,0,0,False
unicoin.com,26,False,114,14,True,US,True,-1,0,20.62,False,2.22,0,0,0,-1,0,4,1,False
ww25.union-crypto.com,1,False,5000,1481,False,US,True,-1,0,0.1,True,0,0,0,0,-1,0,0,0,False
,-1,False,0,0,False,,False,-1,0,0,False,0,0,0,0,-1,0,0,0,False
uobvip.com,25,False,4935,417,True,US,True,-1,0,0.73,False,1.0,0,0,0,-1,0,0,0,False
urbexbit.com,1,False,5000,191,True,US,True,-1,0,0.78,False,1.0,0,0,0,-1,0,0,0,False
,-1,False,0,0,False,,False,-1,0,0,False,0,0,0,0,-1,0,0,0,False
user.fcrown.info,1,False,5000,916,False,DE,True,-1,0,0.86,False,1.2,0,0,0,-1,0,0,0,False
value-capital.ltd,42,False,5000,573,True,US,True,-1,0,1.46,False,1.29,0,0,0,-1,0,0,0,False
veio.io,10,True,0,0,False,,False,-1,0,0,False,0,0,0,0,-1,0,0,0,False
wallet-coins.com,15,False,5000,184,True,US,,-1,0,0.66,,0,0,0,0,-1,0,0,0,False
wallet-secur.com,24,False,5000,161,True,US,False,-1,0,0.61,True,0,0,0,0,-1,0,0,0,False
whitemaxus.com,31,False,5000,161,True,US,True,-1,0,1.85,True,1.0,0,0,0,-1,0,0,0,False
wmt-exchange.org,11,False,5000,159,True,US,True,-1,0,1.09,False,1.0,0,0,0,-1,0,0,0,False
ww25.ww99d.com,46,False,5000,1365,False,US,,-1,0,0.08,,0,0,0,0,-1,0,0,0,False
xcoin-trade.com,1,False,5000,72,True,US,True,-1,0,1.35,False,1.1,0,0,0,-1,0,0,0,False
xcoin-trading.com,1,False,5000,121,True,BR,False,-1,0,1.32,True,0,0,0,0,-1,0,0,0,False
xcoinbroker.com,47,False,5000,917,True,DE,True,-1,0,2.67,False,1.84,5,1,0,-1,0,0,0,False
ydconsultant.com,13,False,750,41,False,US,True,-1,1,4.3,True,0,0,0,0,-1,0,0,0,False
yudi.io,1,False,5000,900,True,DE,True,-1,0,0.66,False,1.1,0,0,0,-1,0,2,0,False
