domain,trust_score,blacklisted,ip_bad_count_bad,ssl_valid,ip_country,anonymous_whois,dnsblock_threat_count,whois_registration_duration,whois_valid_email,avg_review_score,facebook_comments_negative_count,facebook_comments_positive_count,scamadviser_votes_legit,scamadviser_votes_scam,scamadviser_votes_fake,is_legit
getbonusx2.com,1.0,0,0.39,1,US,0,1,0.97,0,0.0,0.0,0.0,0,0,0,0
bakktexe.com,7.0,0,0.12,1,US,0,0,1.53,0,0.0,0.0,0.0,0,0,0,0
coincorner.com,100.0,0,0.0,1,US,1,0,20.45,1,4.19,0.33,0.33,1,4,0,1
pancakeswap. Finance,100.0,0,0.0,1,US,1,0,3.86,1,1.58,0.0,0.0,5,9,1,1
bitcoin-hausse.com,13.0,0,0.0,0,US,1,0,1.05,0,0.0,0.0,0.0,0,0,0,0
ww25.union-crypto.com,1.0,0,0.3,0,US,1,0,0.1,1,0.0,0.0,0.0,0,0,0,0
app.yuzu-swap.com,47.0,0,0.0,0,HK,1,0,2.76,0,0.0,0.0,0.0,0,0,0,1
exmo.com,53.0,0,0.0,1,US,1,0,21.64,0,2.67,0.0,0.42,0,3,0,1
bitexen.com,37.0,0,0.22,1,US,0,0,6.94,0,1.87,0.0,0.0,0,1,0,1
cryptomonaies.com,13.0,0,0.0,1,US,1,1,6.77,1,0.0,0.0,0.0,0,0,0,0
hugedomains.com,100.0,0,0.04,1,US,0,0,20.74,1,1.29,0.5,0.11,10,171,48,0
bitvenus.com,100.0,0,0.0,1,NL,0,0,6.57,0,1.0,0.0,0.0,0,0,0,1
crptrade.com,1.0,0,0.04,1,US,1,0,1.07,1,1.55,0.0,0.0,0,0,0,0
pancakeswap.finance,100.0,0,0.0,1,US,1,0,3.86,1,1.58,0.0,0.0,5,9,1,1
cryptoxcointrade.online,1.0,0,0.51,1,US,1,2,1.55,1,1.0,0.0,0.0,0,0,0,0
interactivecoins.com,13.0,0,0.02,0,US,0,1,5.41,0,0.0,0.0,0.0,0,0,0,0
